,CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192
27993,2,1,3,3,1,10,0,0,3,1,1,4,3,15,6,3,14,0,4,0,0,0,8,1,0,0,1,3,0,1,1,0,0,1,4,4,0,3,1,2,0,0
27994,0,4,4,4,2,51,1,1,8,0,0,19,1,39,20,5,34,0,3,0,1,2,6,0,1,1,0,6,3,0,0,1,0,3,9,9,0,3,3,5,3,2
27995,1,1,5,3,2,10,1,0,4,5,0,17,2,26,7,6,33,0,3,2,0,0,5,1,2,0,0,7,2,1,1,0,0,1,4,2,0,2,1,7,1,1
27996,2,3,3,2,1,27,1,0,5,3,3,10,3,19,16,4,47,1,2,0,1,0,12,0,0,4,1,3,0,0,2,0,0,2,7,2,0,1,2,7,3,0
27997,1,3,4,6,1,8,0,0,4,2,0,12,2,21,14,2,36,0,2,2,0,0,3,0,0,2,0,2,2,1,1,0,0,1,9,6,0,2,0,3,0,1
27998,3,1,1,2,0,20,0,0,2,6,0,7,1,29,5,2,20,1,1,0,1,0,3,2,1,2,0,4,1,0,0,1,0,0,3,1,0,1,5,5,1,0
27999,4,2,2,5,2,34,0,0,5,0,1,18,1,30,12,6,35,0,1,2,1,1,5,3,2,3,0,3,1,0,1,0,0,2,7,2,0,2,5,5,1,1
28000,1,0,2,7,1,15,1,0,4,0,1,5,1,20,9,1,16,1,2,0,1,0,7,0,0,2,0,2,1,0,0,0,0,0,3,3,1,1,0,3,2,3
28001,0,3,2,1,1,8,1,0,4,4,0,11,0,32,16,1,35,2,6,0,0,0,6,2,0,5,0,7,0,0,0,1,0,1,3,3,0,0,1,6,2,0
28002,2,3,10,6,4,86,2,0,10,4,0,25,5,55,26,10,74,2,5,5,1,4,14,1,2,2,0,8,2,0,1,1,1,6,11,5,0,0,4,9,4,1
28003,0,3,1,4,1,1,0,0,1,0,3,13,2,13,8,3,21,1,1,0,0,1,7,0,1,2,0,2,1,0,1,1,1,0,6,3,0,1,2,3,3,1
28004,1,0,0,1,1,8,0,0,2,5,2,10,1,18,6,2,23,0,0,0,0,1,5,0,1,4,0,4,1,0,1,0,0,0,10,2,0,1,3,6,1,0
28005,0,0,3,3,0,17,0,0,3,5,0,10,4,18,8,2,26,3,3,2,0,1,9,2,1,3,0,4,0,0,1,0,0,1,5,0,0,5,2,5,3,1
28006,0,0,2,3,1,10,0,0,2,2,2,8,1,13,3,1,18,1,1,2,0,0,4,0,0,4,0,3,0,0,0,1,0,2,3,1,0,1,1,1,1,0
28007,1,2,2,1,0,4,1,0,3,1,0,5,0,7,8,3,14,1,1,0,0,0,2,0,0,2,0,7,1,0,0,1,0,0,4,4,0,1,2,1,1,0
28008,2,3,2,4,3,7,1,0,3,1,1,6,1,16,85,2,37,0,1,4,0,3,3,0,0,3,0,6,2,0,3,0,0,2,5,5,0,4,3,3,1,2
28009,4,0,4,4,0,129,2,0,7,1,1,15,2,27,14,6,41,2,4,0,2,0,8,0,0,1,0,7,1,0,2,0,1,2,5,3,0,1,2,10,2,0
28010,0,0,2,3,1,10,1,0,1,1,0,10,2,16,15,1,8,1,0,0,0,0,9,0,0,0,0,6,0,0,0,1,1,2,6,3,0,1,1,7,0,0
28011,1,0,2,1,0,7,0,0,2,1,1,6,1,9,4,7,10,2,2,2,0,1,5,0,1,0,0,4,0,0,0,1,0,1,3,0,3,2,0,2,0,0
28012,3,1,2,2,0,26,0,0,2,2,0,16,3,19,9,4,19,1,0,2,1,0,6,1,0,1,0,2,0,0,0,3,0,2,27,5,3,3,3,9,0,0
28013,3,2,4,4,0,24,1,0,5,4,0,12,2,20,9,4,33,1,0,0,0,1,4,0,0,2,0,6,0,0,0,0,0,1,10,3,0,1,3,4,2,1
28014,1,0,1,2,2,10,0,0,2,4,1,8,0,19,13,5,20,0,0,2,0,1,4,2,0,4,1,7,0,1,0,0,0,3,4,5,1,2,1,3,2,1
28015,0,1,5,4,2,5,1,0,1,1,1,10,0,15,11,6,18,0,1,2,0,0,5,1,0,1,0,2,1,0,0,0,1,3,4,2,0,4,3,2,2,4
