CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192,Species,Sample
0,0,4,0,2,54,0,0,2,1,0,10,0,8,13,4,17,2,4,7,0,1,4,0,0,2,1,0,0,0,0,0,0,1,3,3,0,4,2,1,1,0,HUMAN,EtOH1
3,2,0,0,2,15,0,0,4,1,0,6,0,6,13,3,10,0,2,1,0,0,3,4,0,3,0,0,2,0,0,0,0,1,1,2,0,0,2,0,0,1,HUMAN,EtOH1
1,0,2,0,1,6,0,0,2,1,0,6,0,2,12,1,7,0,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HUMAN,EtOH1
0,0,2,3,0,6,0,0,3,1,1,3,0,4,8,1,12,0,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,1,2,1,3,0,HUMAN,EtOH1
1,0,1,1,3,10,0,0,0,0,0,8,0,5,12,1,6,0,1,2,0,0,1,1,0,0,0,2,1,0,0,0,0,1,2,0,1,0,1,0,0,0,HUMAN,EtOH1
2,1,4,2,1,58,0,0,2,3,2,20,1,11,27,7,28,1,1,3,0,1,1,4,1,1,1,3,0,1,0,0,0,3,8,5,0,0,0,3,1,0,HUMAN,EtOH1
1,0,3,3,0,13,0,0,3,3,0,7,0,1,3,3,17,0,1,3,0,0,2,1,0,1,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,HUMAN,EtOH1
0,1,3,2,2,27,2,0,6,2,0,6,0,10,110,2,29,0,1,3,0,12,34,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,2,0,2,0,HUMAN,EtOH1
1,3,4,0,2,43,2,0,5,0,0,10,2,10,22,4,29,0,3,6,0,0,2,2,1,1,0,3,1,0,2,0,0,1,6,1,0,2,1,0,0,0,HUMAN,EtOH1
0,0,0,0,0,9,0,0,1,0,0,6,0,8,17,2,12,0,0,4,0,0,2,2,0,1,0,0,1,0,0,1,0,1,1,4,1,0,1,2,1,0,HUMAN,EtOH1
2,0,0,2,2,4,0,0,1,0,0,6,0,3,4,0,13,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0,1,HUMAN,EtOH1
3,0,1,2,1,14,1,0,2,1,0,5,0,2,9,0,13,3,1,2,0,1,1,0,0,1,0,1,1,1,0,0,0,2,2,3,0,0,1,0,0,1,HUMAN,EtOH1
0,1,2,5,0,17,0,0,3,1,0,9,0,9,22,3,23,0,2,5,1,2,3,1,0,1,1,5,1,0,0,0,0,2,2,2,0,2,0,0,1,0,HUMAN,EtOH1
1,0,1,0,1,9,0,0,2,0,0,2,1,4,8,0,14,1,1,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,HUMAN,EtOH1
0,0,0,0,1,13,1,0,2,0,0,1,0,0,13,1,5,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,1,0,0,0,1,2,1,HUMAN,EtOH1
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HUMAN,EtOH1
0,0,0,1,1,16,0,0,0,0,0,1,0,2,11,1,13,1,2,2,0,0,2,0,0,1,0,1,0,0,1,0,0,2,2,1,0,1,1,1,0,0,HUMAN,EtOH1
1,0,3,0,0,12,1,0,2,0,2,6,1,4,19,2,20,0,2,4,0,1,1,2,1,1,0,2,2,1,0,0,0,1,3,0,0,0,2,1,0,0,HUMAN,EtOH1
0,0,0,0,1,8,0,0,6,1,0,2,3,2,16,1,15,0,1,3,0,0,2,3,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,0,HUMAN,EtOH1
0,0,0,1,0,7,0,0,0,1,0,0,2,1,4,1,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HUMAN,EtOH1
0,1,2,3,2,5,0,0,2,2,1,4,0,5,13,3,12,0,0,1,0,1,6,1,0,0,0,2,0,0,0,1,0,1,2,2,0,0,0,2,0,0,HUMAN,EtOH1
1,1,3,1,0,23,0,0,3,0,0,9,1,7,21,1,17,0,2,2,0,0,3,1,0,3,0,1,2,0,0,0,1,1,6,3,0,1,0,3,3,0,HUMAN,EtOH1
2,0,1,0,1,25,1,0,2,4,1,13,1,4,18,4,21,0,3,3,0,0,0,0,0,1,0,3,0,0,0,0,1,2,4,3,0,0,0,0,1,0,HUMAN,EtOH1
1,1,0,0,0,21,0,0,0,1,0,2,0,1,6,0,7,0,2,1,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,1,0,0,HUMAN,EtOH1
1,0,3,0,0,14,0,0,2,0,0,9,2,4,14,0,18,0,1,3,1,3,1,0,0,2,0,1,0,0,1,1,0,2,2,2,0,0,2,1,1,1,HUMAN,EtOH1
3,0,1,3,2,21,0,0,0,0,0,5,0,4,14,5,17,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,HUMAN,EtOH1
2,0,0,1,0,13,0,0,2,0,1,1,0,5,13,2,11,1,0,0,0,1,3,1,0,0,0,2,0,0,0,0,0,1,1,4,0,0,0,1,0,0,HUMAN,EtOH1
2,3,1,1,1,8,0,0,0,1,1,11,3,1,5,1,10,0,4,4,0,0,1,0,0,0,0,4,1,0,0,0,0,1,2,2,0,0,1,1,1,0,HUMAN,EtOH1
0,1,1,0,1,6,0,0,1,1,0,4,2,5,10,3,11,0,0,3,0,0,1,1,0,2,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,0,HUMAN,EtOH1
1,1,0,0,0,30,0,0,2,1,1,10,3,9,16,2,15,0,0,4,0,1,2,0,0,0,0,2,0,0,0,0,1,2,2,1,0,0,2,0,1,0,HUMAN,EtOH1
